foot cop
0014,0093
0054,0084
0057,0081
0063,0081
0066,0078
0069,0081
0081,0078
0099,0078
0102,0078
0108,0078
0111,0075
0363,0157
0377,0162
0405,0163
0405,0163
0408,0163
0408,0163
0420,0163
0433,0166
0444,0169
0453,0166
0456,0166
0486,0165
0732,0127
0765,0121
0769,0121
0771,0118
0772,0118
0781,0118
0792,0115
0810,0115
0816,0115
0826,0115
0850,0112
1056,0187
1092,0193
1123,0197
1128,0197
1132,0197
1137,0200
1138,0200
1149,0200
1152,0200
1174,0200
1177,0197
1184,0199
1419,0112
1456,0096
1456,0096
1459,0099
1462,0096
1474,0096
1477,0096
1495,0090
1501,0090
1507,0087
1513,0087
